"OBJECTID_1.N.10.0","OBJECTID.N.10.0","FID_1.N.10.0","Name.C.10","SDE_STATE_.N.19.8","ORIG_FID.N.10.0","Distance.N.19.8","Zip_Num.N.10.0","Shape_area.N.19.11","Shape_len.N.19.11","burg.counts","avg.burg.counts","zip.tot.area","num.zip.regions","Total.Exemptions","Total.Returns","Percent.agi1","Percent.agi2","Percent.agi3","Percent.agi4","Percent.agi5","Percent.agi6","Total.Income","X18.24.No.High.school.2015","X25..Less.than.9th.Grade.2015","X25..9th.12th.but.No.Diploma.2015","X25..No.Diploma.2015","X2015.Median.Family.Income","X2015.Poverty.All.Families","X2015.Families.no.husband","X2015.Housing.Units"
1,105,0,90001,0,8499,0,90001,95622508.8574,55969.0556933,77,77,95622508.8574,1,53380,21370,0.609265325222274,0.28591483387927,0.0762751520823585,0.0196537201684605,0.00795507721104352,0.000935891436593355,555894,2191,11935,6623,18558,33595,0.322,0.444,14164
2,194,1,90004,0,8502,0,90004,84193103.6011,61463.7226542,402,402,84193103.6011,1,51260,27690,0.500541711809317,0.259299386059949,0.0985915492957746,0.0422535211267606,0.0548934633441676,0.0444203683640303,1750289,1298,7599,4565,12164,42177,0.196,0.339,24624
3,157,2,90006,0,8504,0,90006,53702398.8695,45757.1981488,79,79,53702398.8695,1,47690,23070,0.631989596879064,0.267013437364543,0.0632856523623754,0.0182054616384915,0.0160381447767664,0.00346770697876029,612820,1394,11616,6590,18206,31856,0.271,0.395,20590
4,136,3,90007,0,8505,0,90007,74345904.091,72292.2153006,184,184,74345904.091,1,23250,12000,0.613333333333333,0.260833333333333,0.075,0.0266666666666667,0.0208333333333333,0.00333333333333333,332242,679,5094,2662,7756,29221,0.364,0.554,12724
5,122,4,90008,0,8506,0,90008,108417712.014,65040.2127654,350,350,108417712.014,1,26800,14720,0.459239130434783,0.242527173913043,0.124320652173913,0.0692934782608696,0.0828804347826087,0.0217391304347826,695559,398,1640,2406,4046,52072,0.19,0.328,15614
6,175,5,90010,0,8507,0,90010,576921.458516,7774.22104499,3,0.41,4228673.4584568,12,3850,2250,0.36,0.173333333333333,0.12,0.0888888888888889,0.133333333333333,0.124444444444444,468435,36,208,94,302,67566,0.119,0.23,2418
7,130,6,90011,0,8508,0,90011,119805568.41,70667.6840521,350,350,119805568.41,1,94620,37060,0.65056664867782,0.270372369131139,0.058553696708041,0.0145709660010793,0.00539665407447383,0.000539665407447383,896360,3900,23791,12371,36162,28405,0.422,0.546,24202
8,202,7,90012,0,8509,0,90012,99028515.5307,58767.3217971,27,27,99028515.5307,1,16960,10380,0.453757225433526,0.234104046242775,0.121387283236994,0.0751445086705202,0.0915221579961464,0.0240847784200385,536468,1050,4481,3962,8443,35325,0.273,0.509,11688
9,154,8,90013,0,8510,0,90013,16910483.0028,28209.5283313,6,6,16910483.0028,1,5700,4390,0.382687927107062,0.195899772209567,0.129840546697039,0.10250569476082,0.14123006833713,0.0478359908883827,316223,108,541,1497,2038,78947,0.056,0.316,7560
10,148,9,90014,0,8511,0,90014,7922739.99556,16972.3500174,5,5,7922739.99556,1,4640,3570,0.352941176470588,0.207282913165266,0.148459383753501,0.109243697478992,0.140056022408964,0.0420168067226891,258873,66,472,781,1253,80026,0.166,0.739,5111
11,152,10,90015,0,8512,0,90015,46304103.0586,45413.2112955,20,20,46304103.0586,1,14330,7600,0.523684210526316,0.219736842105263,0.075,0.0486842105263158,0.0842105263157895,0.0486842105263158,484416,608,2518,1972,4490,31630,0.304,0.517,8678
12,162,11,90017,0,8514,0,90017,19845763.5377,27282.7596264,11,11,19845763.5377,1,16760,8680,0.544930875576037,0.21889400921659,0.0852534562211982,0.0460829493087558,0.0702764976958525,0.0345622119815668,578060,981,5198,1746,6944,23694,0.464,0.561,11305
13,137,12,90018,0,8515,0,90018,83170655.1657,55916.5970049,387,387,83170655.1657,1,43280,21490,0.544439274080968,0.284318287575617,0.0963238715681712,0.0381572824569567,0.0302466263378315,0.00651465798045603,712166,1111,6813,3834,10647,37448,0.245,0.378,17093
14,159,13,90019,0,8516,0,90019,106962179.276,79327.2704832,533,533,106962179.276,1,53250,28870,0.460339452719086,0.266366470384482,0.117076550051957,0.0564599930723935,0.0720471077242813,0.0277104260478005,1393261,1497,7475,4989,12464,48042,0.184,0.31,25626
15,139,14,90021,0,8518,0,90021,57342554.628,43622.2604916,7,7,57342554.628,1,2170,1340,0.485074626865672,0.201492537313433,0.0895522388059701,0.0522388059701493,0.0970149253731343,0.0746268656716418,114657,25,587,375,962,41979,0.317,0.81,1994
16,150,15,90022,0,8519,0,90022,119026123.159,68342.9634197,0,0,119026123.159,1,64160,27060,0.5509977827051,0.302291204730229,0.0960827790096083,0.032520325203252,0.016629711751663,0.00147819660014782,807670,NA,NA,NA,NA,NA,NA,NA,NA
17,135,16,90023,0,8520,0,90023,158843161.049,83328.3024431,88,88,158843161.049,1,44530,17970,0.583750695603784,0.2960489705064,0.0840289371174179,0.0239287701725097,0.0105731775180857,0.00166944908180301,507519,1726,9824,5827,15651,37050,0.285,0.415,11692
18,193,17,90024,0,8521,0,90024,82152285.4496,64210.4536632,159,159,82152285.4496,1,23330,15170,0.284772577455504,0.155570204350692,0.106789716545814,0.0784442979564931,0.160184574818721,0.214238628872775,5470390,242,227,446,673,152411,0.05,0.1,19300
19,160,18,90025,0,8522,0,90025,69408940.5561,68850.9777191,176,175.91,69445129.7201894,2,40080,25660,0.255650818394388,0.213561964146532,0.151987529228371,0.103663289166017,0.163289166017147,0.111847233047545,5455720,181,1215,1684,2899,92005,0.06,0.073,23120
20,206,19,90026,0,8523,0,90026,113995381.62,71368.2520479,363,362.29,114217283.680975,2,53830,31610,0.452388484656754,0.268585890540968,0.119898766213224,0.061056627649478,0.0724454286618159,0.0256248022777602,1533521,1407,7365,4715,12080,44808,0.202,0.322,26715
21,263,20,90027,0,8524,0,90027,237072408.998,84968.8544935,334,334,237072408.998,1,35840,23950,0.377035490605428,0.237995824634656,0.146137787056367,0.0772442588726514,0.0993736951983299,0.0622129436325679,1887890,173,2612,1650,4262,60527,0.145,0.267,23454
22,217,21,90028,0,8525,0,90028,43204184.9994,44736.1211853,76,76,43204184.9994,1,21170,15120,0.497354497354497,0.274470899470899,0.107804232804233,0.0489417989417989,0.0529100529100529,0.0185185185185185,662501,592,1976,1732,3708,42259,0.16,0.27,18062
23,213,22,90031,0,8527,0,90031,104912883.361,95789.1189473,115,115,104912883.361,1,34070,16500,0.54,0.279393939393939,0.0987878787878788,0.0387878787878788,0.0381818181818182,0.00484848484848485,557076,838,7909,3813,11722,35371,0.275,0.353,12118
24,181,23,90033,0,8529,0,90033,85741188.5955,58854.4215831,131,131,85741188.5955,1,40420,17280,0.607638888888889,0.276041666666667,0.0758101851851852,0.0237268518518519,0.0144675925925926,0.00231481481481481,472349,1784,9564,5446,15010,31074,0.346,0.496,13948
25,144,24,90034,0,8530,0,90034,86484843.9173,59999.8016985,257,257,86484843.9173,1,50000,30480,0.327755905511811,0.270341207349081,0.163713910761155,0.0905511811023622,0.105643044619423,0.041994750656168,2017934,399,2556,2117,4673,69622,0.124,0.222,27422
26,177,25,90035,0,8531,0,90035,57147791.9093,48638.6996978,259,259,57147791.9093,1,25010,14170,0.302752293577982,0.207480592801694,0.141143260409315,0.0938602681721948,0.155257586450247,0.0995059985885674,1409704,68,821,558,1379,94325,0.069,0.157,14154
27,196,26,90036,0,8532,0,90036,69427606.1942,54557.9782153,324,324,69427606.1942,1,30810,19300,0.273575129533679,0.216062176165803,0.158549222797927,0.105181347150259,0.161139896373057,0.0854922279792746,2072672,63,417,378,795,88875,0.08,0.16,20175
28,120,27,90037,0,8533,0,90037,75682931.8115,55435.8643965,331,331,75682931.8115,1,54230,23750,0.64,0.266526315789474,0.0669473684210526,0.0172631578947368,0.00926315789473684,0,585319,2236,11892,6726,18618,28958,0.388,0.507,17943
