DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
131407448,02/22/2013,02/21/2013,1700,14,Pacific,1466,310,BURGLARY,1607 0344,46,M,W,501,SINGLE FAMILY DWELLING,219,SCREWDRIVER,IC,Invest Cont,310,,,,6400    RIGGS                        PL,,"(33.9783, -118.3991)"
130111421,04/30/2013,04/29/2013,1430,01,Central,0131,310,BURGLARY,0321 1607 1251,29,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,100 S  FIGUEROA                     ST,,"(34.0578, -118.252)"
130113149,05/25/2013,05/25/2013,1230,01,Central,0101,310,BURGLARY,1607 0344 0321,47,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,900    FIGUEROA                     TR,,"(34.0663, -118.2441)"
130123569,11/07/2013,11/07/2013,0900,01,Central,0105,310,BURGLARY,1607 0344 1202,63,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,400    SAVOY                        ST,,"(34.0695, -118.2324)"
130204052,01/01/2013,01/01/2013,0930,02,Rampart,0299,310,BURGLARY,0344,25,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1700    TOBERMAN                     ST,,"(34.0398, -118.278)"
130204406,01/07/2013,01/07/2013,1630,02,Rampart,0231,310,BURGLARY,1822 1402 0352 0906 1202 1601 0321 0344,65,M,O,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,998,,,200 N  VENDOME                      ST,,"(34.0734, -118.2812)"
130204584,01/11/2013,01/10/2013,1200,02,Rampart,0235,310,BURGLARY,0358 0324 0344,38,M,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,,,,200 S  PARK VIEW                    ST,,"(34.0672, -118.2741)"
130204598,01/10/2013,01/10/2013,0545,02,Rampart,0202,310,BURGLARY,1601 0344,33,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,900 N  HOOVER                       ST,,"(34.0877, -118.2845)"
130205229,01/21/2013,01/21/2013,1300,02,Rampart,0202,310,BURGLARY,1607 0344 0321,34,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,900 N  MADISON                      AV,,"(34.0877, -118.2893)"
130205374,01/24/2013,01/23/2013,2320,02,Rampart,0217,310,BURGLARY,0344,23,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,400 N  WESTLAKE                     AV,,"(34.0698, -118.2665)"
