"OBJECTID_1,N,10,0","OBJECTID,N,10,0","FID_1,N,10,0","Name,C,10","SDE_STATE_,N,19,8","ORIG_FID,N,10,0","Distance,N,19,8","Zip_Num,N,10,0","Shape_area,N,19,11","Shape_len,N,19,11"
1,105,0,90001,0,8499,0,90001,95622508.8574,55969.0556933
2,194,1,90004,0,8502,0,90004,84193103.6011,61463.7226542
3,157,2,90006,0,8504,0,90006,53702398.8695,45757.1981488
4,136,3,90007,0,8505,0,90007,74345904.091,72292.2153006
5,122,4,90008,0,8506,0,90008,108417712.014,65040.2127654
6,175,5,90010,0,8507,0,90010,576921.458516,7774.22104499
7,130,6,90011,0,8508,0,90011,119805568.41,70667.6840521
8,202,7,90012,0,8509,0,90012,99028515.5307,58767.3217971
9,154,8,90013,0,8510,0,90013,16910483.0028,28209.5283313
10,148,9,90014,0,8511,0,90014,7922739.99556,16972.3500174
11,152,10,90015,0,8512,0,90015,46304103.0586,45413.2112955
12,162,11,90017,0,8514,0,90017,19845763.5377,27282.7596264
13,137,12,90018,0,8515,0,90018,83170655.1657,55916.5970049
14,159,13,90019,0,8516,0,90019,106962179.276,79327.2704832
15,139,14,90021,0,8518,0,90021,57342554.628,43622.2604916
16,150,15,90022,0,8519,0,90022,119026123.159,68342.9634197
17,135,16,90023,0,8520,0,90023,158843161.049,83328.3024431
18,193,17,90024,0,8521,0,90024,82152285.4496,64210.4536632
19,160,18,90025,0,8522,0,90025,69408940.5561,68850.9777191
20,206,19,90026,0,8523,0,90026,113995381.62,71368.2520479
21,263,20,90027,0,8524,0,90027,237072408.998,84968.8544935
22,217,21,90028,0,8525,0,90028,43204184.9994,44736.1211853
23,213,22,90031,0,8527,0,90031,104912883.361,95789.1189473
24,181,23,90033,0,8529,0,90033,85741188.5955,58854.4215831
25,144,24,90034,0,8530,0,90034,86484843.9173,59999.8016985
26,177,25,90035,0,8531,0,90035,57147791.9093,48638.6996978
27,196,26,90036,0,8532,0,90036,69427606.1942,54557.9782153
28,120,27,90037,0,8533,0,90037,75682931.8115,55435.8643965
29,204,28,90038,0,8534,0,90038,42482627.4823,46587.175519
30,252,29,90039,0,8535,0,90039,113027302.429,72032.4106225
31,195,30,90048,0,8544,0,90048,51452137.2446,50423.32727
32,234,31,90049,0,8545,0,90049,434556709.12,131507.325949
33,190,32,90057,0,8547,0,90057,25847920.5604,32088.2536934
34,124,33,90058,0,8548,0,90058,131599908.741,97032.2569514
35,80,34,90061,0,8550,0,90061,76429458.674,61942.5576034
36,121,35,90062,0,8551,0,90062,52653169.0783,42995.9718944
37,178,36,90063,0,8552,0,90063,92862587.2222,70244.7146917
38,155,37,90064,0,8553,0,90064,110209009.191,72422.7993279
39,238,38,90065,0,8554,0,90065,144869716.039,92048.3735869
40,128,39,90066,0,8555,0,90066,139323658.204,78454.3092927
41,179,40,90067,0,8556,0,90067,10352389.2352,16018.5205686
42,218,41,90069,0,8558,0,90069,60002446.8408,50044.8856433
43,156,42,90071,0,8559,0,90071,4021619.22134,9341.2823012
44,183,43,90073,0,8560,0,90073,17710234.2385,27872.5968839
45,126,44,90089,0,8562,0,90089,6887030.68234,13105.1809949
